symbol,weeks,change,median,std,ratio
RSG,114,0.02782943391058014,0.01882146345198399,0.03825335584096776,0.7275030725742491
GC=F,114,0.0256072062535834,0.018701625550663903,0.03547261407358638,0.7218866419165607
NFLX,114,0.070203462973093,0.047741307854317405,0.09808588543841604,0.7157346101256411
SPMO,114,0.03658721250411037,0.028464767903612298,0.05308193011225082,0.6892592719733525
PLTR,114,0.15126966876694242,0.07107444639641425,0.2233715266515085,0.6772110619226089
META,114,0.06429088494969369,0.04787558058526031,0.09629940346434313,0.6676145711899321
NVDA,114,0.09381770118951421,0.04095612930569248,0.14083492491441016,0.6661536635641351
NUKZ,75,0.07089668693409222,0.04499616655953553,0.10726831337043108,0.6609285138031746
FNGS,114,0.047120773951678366,0.034221989634326766,0.07282728519855242,0.6470208771782555
MAGS,114,0.04262629194841138,0.030269884393850477,0.06678574475398717,0.6382543476220882
SPY,114,0.024735062273328726,0.020779052986834023,0.038891124973589986,0.6360078884353616
AVGO,114,0.08301602837946032,0.04034041100970276,0.13106565194205022,0.6333927092978203
BKNG,114,0.04749659631948362,0.03330185216897674,0.07502273465992607,0.6330960412837933
IGM,114,0.03944653603202958,0.02935270838032955,0.06331144465490134,0.6230553772235834
BRK-B,114,0.025357001074169466,0.016291340726160675,0.040784840638279966,0.6217261285647837
AMZN,114,0.04488747251629929,0.033194078158131024,0.07250542322090614,0.619091242037692
MGK,114,0.032945506355577636,0.0273158665212776,0.05354891917904037,0.6152412945147334
QTUM,114,0.04324475105607711,0.019694856900985047,0.07062394585584328,0.6123241987122577
QQQ,114,0.031619754431365894,0.02314786074086661,0.051899699764982835,0.609247347760189
AJG,114,0.030344813249705158,0.020271895713979915,0.05052595125567616,0.6005787619148719
BTC-USD,114,0.08454745705592503,0.01610103542465935,0.14095000114747433,0.5998400593659026
USD,114,0.12871504417397142,0.06549346725154326,0.21475622840699024,0.5993541846434373
SMH,114,0.052497138184799605,0.023718481185921236,0.08944521979799058,0.5869194385497946
XLKS.MI,114,0.04052875212095936,0.023894295247530284,0.07025375697086848,0.5768908862449174
NET,114,0.095781893885822,0.03256038291104302,0.1668119574651369,0.574190815462615
NOW,114,0.055100281448286215,0.027193707633067166,0.09759377270539316,0.5645880871376674
ISRG,114,0.04268383090953564,0.025279290462064563,0.07567545068039302,0.5640380139895846
TQQQ,114,0.08832746102615957,0.056164572959871206,0.1597242390637695,0.5529997296834518
MSFT,114,0.03361289575029115,0.015132770189572597,0.0612337639205594,0.5489274804974961
GOOG,114,0.03801027165230498,0.020936533431473392,0.07051198092986354,0.5390611801150903
MAGX,70,0.08099770505219626,0.0402246366755189,0.15493973340510625,0.5227691004244808
UFO,114,0.03861425408452972,0.016755072635099455,0.0745137591707388,0.518216427600305
SHOP,114,0.07837716481744973,0.030216470923394967,0.15507810646047002,0.5054044481606329
TSLA,114,0.08937264646593303,0.019436665119944907,0.18035013754876342,0.4955507529999431
CRM,114,0.04328387483148043,0.013994422551662389,0.08884764277345741,0.4871696477288104
QTOP,36,0.03402241804324741,0.015382315500927612,0.07125909107364467,0.4774467023174069
WDAY,114,0.04401940093914543,0.011446831015485825,0.09270140700088644,0.4748514867603304
AAPL,114,0.030380275363880587,0.008673133746021966,0.06589641235847812,0.46103079479670506
TOPT,36,0.02853574191499545,0.012026749668074155,0.06236039385233675,0.45759399760311437
XYZ,114,0.0686527793280222,0.005379908610374962,0.15637709345479162,0.4390206891002845
SNOW,114,0.06568733972789513,-0.004624333652722024,0.15097562657018895,0.43508572357112835
